date,name,count_show_mentions_person_date,max,max_name
2017-11-27T00:00:00Z,charlie rose,4,NA,
2017-11-27T00:00:00Z,dustin hoffman,0,NA,
2017-11-27T00:00:00Z,garrison keillor,0,NA,
2017-11-27T00:00:00Z,glenn thrush,0,NA,
2017-11-27T00:00:00Z,harvey weinstein,13,NA,
2017-11-27T00:00:00Z,john conyers,46,NA,
2017-11-27T00:00:00Z,kevin spacey,2,NA,
2017-11-27T00:00:00Z,louis ck,0,NA,
2017-11-27T00:00:00Z,mark halperin,1,NA,
2017-11-27T00:00:00Z,matt lauer,1,NA,
2017-11-27T00:00:00Z,matt zimmerman,0,NA,
2017-11-27T00:00:00Z,roy moore,45,NA,
2017-11-27T00:00:00Z,ruben kihuen,0,NA,
2017-11-27T00:00:00Z,russell simmons,0,NA,
2017-11-27T00:00:00Z,trent franks,0,NA,
2017-11-28T00:00:00Z,al franken,16,NA,
2017-11-28T00:00:00Z,blake farenthold,0,NA,
2017-11-28T00:00:00Z,charlie rose,3,NA,
2017-11-28T00:00:00Z,dustin hoffman,0,NA,
2017-11-28T00:00:00Z,garrison keillor,0,NA,
2017-11-28T00:00:00Z,glenn thrush,0,NA,
2017-11-28T00:00:00Z,harvey weinstein,8,NA,
2017-11-28T00:00:00Z,john conyers,30,NA,
2017-11-28T00:00:00Z,kevin spacey,0,NA,
2017-11-28T00:00:00Z,louis ck,0,NA,
2017-11-28T00:00:00Z,mark halperin,1,NA,
2017-11-28T00:00:00Z,matt lauer,0,NA,
2017-11-28T00:00:00Z,matt zimmerman,0,NA,
2017-11-28T00:00:00Z,roy moore,40,NA,
2017-11-28T00:00:00Z,ruben kihuen,0,NA,
2017-11-28T00:00:00Z,russell simmons,0,NA,
2017-11-28T00:00:00Z,trent franks,0,NA,
2017-11-29T00:00:00Z,al franken,12,NA,
2017-11-29T00:00:00Z,blake farenthold,0,NA,
2017-11-29T00:00:00Z,charlie rose,17,NA,
2017-11-29T00:00:00Z,dustin hoffman,0,NA,
2017-11-29T00:00:00Z,garrison keillor,4,NA,
2017-11-29T00:00:00Z,glenn thrush,0,NA,
2017-11-29T00:00:00Z,harvey weinstein,16,NA,
2017-11-29T00:00:00Z,john conyers,32,NA,
2017-11-29T00:00:00Z,kevin spacey,1,NA,
2017-11-29T00:00:00Z,louis ck,0,NA,
2017-11-29T00:00:00Z,mark halperin,3,NA,
2017-11-29T00:00:00Z,matt lauer,29,NA,
2017-11-29T00:00:00Z,matt zimmerman,1,NA,
2017-11-29T00:00:00Z,roy moore,24,NA,
2017-11-29T00:00:00Z,ruben kihuen,0,NA,
2017-11-29T00:00:00Z,russell simmons,0,NA,
2017-11-29T00:00:00Z,trent franks,1,NA,
2017-11-30T00:00:00Z,al franken,24,NA,
2017-11-30T00:00:00Z,blake farenthold,0,NA,
2017-11-30T00:00:00Z,charlie rose,22,NA,
2017-11-30T00:00:00Z,dustin hoffman,2,NA,
2017-11-30T00:00:00Z,garrison keillor,5,5,Garrison Keillor
2017-11-30T00:00:00Z,glenn thrush,0,NA,
2017-11-30T00:00:00Z,harvey weinstein,22,NA,
